epoch,box,cls,dfl,Recall,Precision,mAP@50,mAP
001,2.1241,1.9005,1.6399,0.498,0.610,0.479,0.161
002,1.6032,0.9318,1.2255,0.574,0.734,0.609,0.280
003,1.4533,0.7797,1.1458,0.623,0.767,0.641,0.292
004,1.3844,0.7211,1.1168,0.650,0.794,0.697,0.335
005,1.3312,0.6798,1.0904,0.666,0.787,0.699,0.343
006,1.2921,0.6510,1.0759,0.705,0.807,0.728,0.367
007,1.2561,0.6267,1.0586,0.712,0.807,0.736,0.374
008,1.2263,0.6096,1.0488,0.707,0.813,0.735,0.380
009,1.1862,0.5902,1.0339,0.717,0.819,0.746,0.384
010,1.1504,0.5753,1.0191,0.723,0.823,0.751,0.388
011,1.0816,0.5385,0.9935,0.722,0.826,0.753,0.390
012,1.0516,0.5216,0.9808,0.725,0.826,0.756,0.393
013,1.0318,0.5096,0.9743,0.728,0.826,0.758,0.395
014,1.0088,0.4975,0.9654,0.731,0.827,0.760,0.396
015,0.9892,0.4882,0.9602,0.733,0.827,0.762,0.398
